Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date
2023-07-10,155.9182891845703,34.3012580871582,0.0,0.0,156.69050901409412,34.618504360434834,155.41977828407636,34.166668536841435,155.84008876416252,34.19550810696926,0.0,0.0,5739200,17777500
2023-07-11,155.05812072753906,34.628116607666016,0.0,0.0,156.69051541785245,34.64734420830026,154.05131451084998,34.24357192956084,155.54686218865825,34.26279953019508,0.0,0.0,6607000,17731300
2023-07-12,154.5205078125,34.599281311035156,0.0,0.0,155.36114375310814,34.849232815552774,154.32501420391338,34.53198286686357,155.36114375310814,34.801165641679034,0.0,0.0,6940400,17229700
2023-07-13,155.2340545654297,34.66657638549805,0.0,0.0,155.54685624789795,34.95498309850649,153.86558449264388,34.53198316328981,154.44229581508895,34.61850554392137,0.0,0.0,6401700,16664400
2023-07-14,156.2701873779297,34.916526794433594,0.0,0.0,156.62208182062713,35.07995958261748,155.40022818837284,34.618504455563105,155.59572178649245,34.89729919186548,0.0,0.0,5361700,17909900
2023-07-17,155.48822021484375,34.47430419921875,0.0,0.0,156.27019464367987,34.724255707173675,154.58892277431113,34.39739378613087,156.15290146239568,34.724255707173675,0.0,0.0,5486800,20557300
2023-07-18,155.47842407226562,34.83961868286133,0.0,0.0,157.26721952749585,35.070342570034875,154.6280187419056,34.49352918481094,155.48820844676956,34.53198072114649,0.0,0.0,6332500,22817300
2023-07-19,155.16563415527344,35.03188705444336,0.0,0.0,156.79802873732922,35.28184220849388,153.78737974667143,34.810775136500226,154.35432159379576,34.93575271352549,0.0,0.0,7522600,18589700
2023-07-20,164.5885772705078,35.349143981933594,0.0,0.0,165.33145891313862,35.6375507290998,157.66799647318044,34.954987238438605,158.29358493939733,34.993442449338296,0.0,0.0,21892900,22358400
2023-07-21,166.35781860351562,35.954795837402344,0.0,0.0,166.97363760880845,35.98363540801691,164.39306841146916,35.37797875407921,164.39306841146916,35.37797875407921,0.0,0.0,12076500,24142000
2023-07-24,167.227783203125,36.060543060302734,0.0,0.0,169.90609182880937,36.339337807566096,167.13981331815438,35.92595350432466,167.6383242481938,35.96440871097278,0.0,0.0,15155400,19414700
2023-07-25,168.50828552246094,35.627933502197266,0.0,0.0,168.79174901589025,36.262429719242895,165.92773112542488,35.618317867246,166.61196620888023,35.954795412026236,0.0,0.0,13790100,21771000
2023-07-26,168.8308563232422,35.77213668823242,0.0,0.0,169.93541682964758,35.9067262455018,167.5405716698972,35.339524777516296,168.12706740600058,35.44527476316806,0.0,0.0,14288200,20983700
2023-07-27,169.77902221679688,35.18889617919922,0.0,0.41,170.3655030592453,35.97626964312303,168.16616634084863,35.16945435552658,168.30301336227393,35.82073876189066,0.0,0.0,12446400,25346300
2023-07-28,170.5512237548828,35.062522888183594,0.0,0.0,171.4114135379472,35.43191008699292,169.32937004721475,35.013920187638554,170.08203610739608,35.33470097775449,0.0,0.0,14138800,24054100
2023-07-31,163.75772094726562,35.05280685424805,0.0,0.0,166.3871525258308,35.17917314493316,162.95619266690966,34.91671408957775,165.8690877443893,35.169454087245335,0.0,0.0,22632700,40265200
2023-08-01,165.0870819091797,34.61537551879883,0.0,0.0,165.28257550083913,35.888783455957096,162.32080358734385,34.38207734180146,162.62382089169674,34.87783457736509,0.0,0.0,15810300,40931600
